# x, y, omega
# 
415.984786 236.755670 -0.005091
418.682584 232.033379 -0.005726
422.498116 228.007176 -0.006580
427.065515 224.781748 -0.007607
432.247722 222.435637 -0.008784
437.349229 220.161219 -0.010061
442.923073 219.905937 -0.011553
448.603011 220.452917 -0.013012
454.020670 221.603238 -0.014383
458.813000 223.098162 -0.015596
464.474485 225.207734 -0.017257
469.553654 228.126806 -0.018686
475.007150 231.959707 -0.020212
479.261036 235.458611 -0.021425
483.190630 239.220937 -0.022694
487.164268 244.027766 -0.024002
491.069316 249.519582 -0.025341
494.821911 255.672768 -0.026702
497.722914 261.748666 -0.028075
499.644661 266.706348 -0.028984
501.370511 271.942154 -0.029879
502.866184 277.448341 -0.030755
504.096757 283.212719 -0.031605
504.693071 288.755084 -0.032423
504.908249 294.900149 -0.033197
504.768329 301.180795 -0.033913
504.249939 307.561955 -0.034564
503.334072 314.004596 -0.035145
501.540177 319.918668 -0.035645
499.526808 326.289138 -0.036052
497.102764 332.541956 -0.036360
494.279482 338.629100 -0.036562
490.779750 343.905235 -0.036656
486.958393 349.479618 -0.036632
482.822514 354.715621 -0.036486
478.416032 359.579200 -0.036218
473.523181 363.399024 -0.035827
468.495459 367.509698 -0.035314
463.342303 371.153553 -0.034679
458.122750 374.327063 -0.033929
452.894426 377.035361 -0.033070
447.524611 378.607067 -0.032112
442.195678 380.502122 -0.031060
436.999992 381.957577 -0.029921
431.981736 383.004636 -0.028707
424.866960 383.887167 -0.026771
417.971587 382.655087 -0.024731
411.716831 382.177983 -0.022616
406.140018 381.195862 -0.020464
401.252223 379.832350 -0.018310
395.782808 377.607254 -0.015493
391.054508 373.738475 -0.012789
386.348555 370.383051 -0.009608
382.455880 366.323656 -0.006168
379.808722 361.807221 -0.002755
378.481994 356.505393 0.000664
378.599008 351.201733 0.003310
379.514607 345.830035 0.005109
380.440518 340.723645 0.006103
381.188493 335.768543 0.006464
382.479773 330.564261 0.006679
383.491298 325.591021 0.006673
384.014105 320.193454 0.006534
384.018141 314.925622 0.006407
384.501161 309.489982 0.006356
385.032940 304.415548 0.006223
384.689615 299.411153 0.006120
383.266061 294.280898 0.006195
381.127457 289.008610 0.006532
379.798171 283.848559 0.006969
377.024901 279.647523 0.007710
372.895724 276.256526 0.008739
369.253114 272.487730 0.009986
364.058665 271.591571 0.011549
359.066824 271.947841 0.013419
354.357123 274.636368 0.015117
350.505296 277.885634 0.016914
347.560551 282.028066 0.018255
345.829261 286.754486 0.019395
344.492416 291.811565 0.020295
344.482688 297.384965 0.021162
344.766266 302.401739 0.021642
346.480899 307.261036 0.021991
348.324735 311.963551 0.022061
351.546102 316.119149 0.021876
355.160061 320.582489 0.021373
360.121729 323.536816 0.020455
364.577592 325.874114 0.019358
369.749265 326.246999 0.017872
375.233607 326.279111 0.015970
379.938013 323.919284 0.013995
384.663559 321.147338 0.011811
387.964826 317.362620 0.009782
390.070216 311.879645 0.008360
392.635001 307.062237 0.006782
394.395172 301.843867 0.005424
395.453649 296.926972 0.004413
396.140642 291.871704 0.003599
396.550501 286.719765 0.002962
396.750843 281.496851 0.002481
396.960528 276.008203 0.002163
397.362059 270.252554 0.001954
397.650679 264.611581 0.001761
398.102954 259.254128 0.001559
399.029016 254.220843 0.001272
399.979721 249.115441 0.000950
401.011934 243.946742 0.000598
402.051926 238.911493 0.000213
403.047454 233.745653 -0.000215
404.357725 228.586292 -0.000661
405.997795 223.475480 -0.001168
407.901469 218.500158 -0.001750
409.518157 213.550022 -0.002291
411.072625 208.504605 -0.002811
415.090375 205.397210 -0.003890
420.230193 203.725474 -0.005160
